sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,20.06974388737112,74,0.9041394335511983
44,3,7,126,20.504848243141225,126,0.962962962962963
38,4,5,73,19.019000024607017,73,0.9541910331384016
42,3,5,127,19.060560401538215,127,0.8208061002178649
45,3,6,86,21.517547552138936,86,0.9824561403508771
33,4,6,74,20.291734788594265,74,0.9257539273019149
43,4,9,142,18.6072485321482,142,0.9320175438596491
33,4,9,119,22.29999023397975,119,0.9727095516569201
33,4,7,138,19.548294699868343,138,0.9530443756449949
36,3,6,72,19.17919484187654,72,0.962962962962963
40,3,9,113,20.11541192660643,113,0.9166666666666666
35,4,9,122,19.300088369925074,122,0.8949805068226121
33,3,7,115,19.097256286728747,115,0.8620857699805068
35,3,6,109,21.211875563529684,109,0.9041394335511983
46,3,5,98,19.14905642572535,98,0.9649122807017544
32,4,7,68,19.455178755547372,68,0.9814814814814815
33,4,5,117,18.980989042868956,117,0.9639376218323586
30,4,9,122,19.570151396082892,122,0.9345258571264763
49,4,6,59,34.6927502287885,59,0.9551656920077973
40,4,9,83,19.911927046729335,83,0.962962962962963
42,3,6,103,19.623205735379386,103,0.9278752436647173
36,4,5,84,21.124243515211234,84,0.9551656920077973
44,3,8,84,23.587714300719686,84,0.9649122807017544
31,3,9,75,19.38870270784301,75,0.8991228070175439
40,3,6,102,19.238813710114318,102,0.9083820662768032
33,3,9,64,20.256906175363625,64,0.9454191033138402
48,3,5,59,19.15036337036717,59,0.9824561403508771
48,4,8,51,18.774181386088657,51,0.9541910331384016
42,4,5,148,19.166728967913887,148,0.9618163054695562
34,4,7,117,19.027068865206203,117,0.922270955165692
37,4,7,143,18.63111132768619,143,0.9310428849902534
41,3,7,133,22.118362479938895,133,0.962962962962963
31,4,6,140,20.13246863744204,140,0.9345258571264763
33,4,9,114,18.566265722280352,114,0.935672514619883
32,3,9,61,18.193772053383523,61,0.9824561403508771
49,3,6,137,19.320803611451865,137,0.9411764705882353
43,4,8,105,18.34559472140526,105,0.9541910331384016
40,4,6,140,20.27013050669754,140,0.9454191033138402
41,4,9,113,19.85522531422482,113,0.9125243664717348
39,4,8,73,19.156459738573123,73,0.9407894736842105
30,3,6,101,19.674763887059207,101,0.9236326109391125
39,4,5,113,19.419391730490453,113,0.8599644536177043
49,3,9,131,19.478422823364234,131,0.8991228070175439
35,3,9,67,22.338657814713446,67,0.9454191033138402
38,3,8,88,18.945483600881083,88,0.9278752436647173
31,4,5,139,21.259718530061093,139,0.9212962962962963
46,3,7,82,19.99026921146638,82,0.8620857699805068
47,3,6,54,20.6805058175188,54,0.9083820662768032
30,4,6,63,20.322664531293178,63,0.9444444444444444
37,3,7,139,19.231420147297452,139,0.8208061002178649
