sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,12.597393855397865,74,0.8620857699805068
44,3,7,126,10.274109172552151,126,0.9649122807017544
38,4,5,73,18.57687845411669,73,0.9736842105263158
42,3,5,127,12.63539057923461,127,0.9278752436647173
45,3,6,86,10.868017230074248,86,0.9824561403508771
33,4,6,74,28.32216011904824,74,0.9442724458204335
43,4,9,142,14.275568828993958,142,0.9144736842105263
33,4,9,119,12.740995253783593,119,0.9463937621832359
33,4,7,138,11.472618887612933,138,0.9181286549707602
36,3,6,72,13.268311455022298,72,0.9454191033138402
40,3,9,113,13.39373731717362,113,0.9649122807017544
35,4,9,122,17.458002488812344,122,0.9278752436647173
33,3,7,115,13.362553013336315,115,0.9824561403508771
35,3,6,109,13.597440035188614,109,0.9649122807017544
46,3,5,98,11.273280892636675,98,0.9649122807017544
32,4,7,68,14.229152777092606,68,0.9814814814814815
33,4,5,117,22.405779462843036,117,0.9824561403508771
30,4,9,122,11.916597354596579,122,0.9454191033138402
49,4,6,59,15.556215019997143,59,0.9541910331384016
40,4,9,83,12.943312171767223,83,0.9257539273019149
42,3,6,103,12.83689399768305,103,0.9824561403508771
36,4,5,84,12.585958228535276,84,0.9454191033138402
44,3,8,84,13.20779667932618,84,0.7990196078431372
31,3,9,75,61.803498852734656,75,0.9236326109391125
40,3,6,102,13.426133027177132,102,0.9473684210526316
33,3,9,64,14.446966368967779,64,0.9454191033138402
48,3,5,59,14.702079746960454,59,0.9454191033138402
48,4,8,51,12.35273518472199,51,0.9530443756449949
42,4,5,148,14.919336706547767,148,0.9345258571264763
34,4,7,117,12.359170862356507,117,0.9530443756449949
37,4,7,143,11.578628509920586,143,0.9320175438596491
41,3,7,133,11.381436232243232,133,0.8796296296296297
31,4,6,140,25.20319345631944,140,0.9407894736842105
33,4,9,114,13.140542512075344,114,0.9551656920077973
32,3,9,61,34.737595470612845,61,0.9083820662768032
49,3,6,137,11.66286512232996,137,0.881578947368421
43,4,8,105,11.519640537270552,105,0.8949805068226121
40,4,6,140,10.55131288859127,140,0.9639376218323586
41,4,9,113,10.812870092908469,113,0.9736842105263158
39,4,8,73,30.105205993733207,73,0.9649122807017544
30,3,6,101,12.059432849277416,101,0.9649122807017544
39,4,5,113,11.715724604417929,113,0.9495614035087719
49,3,9,131,14.239996723382792,131,0.9649122807017544
35,3,9,67,25.927244484668883,67,1.0
38,3,8,88,23.59381294466477,88,0.9454191033138402
31,4,5,139,12.743787166621104,139,0.9824561403508771
46,3,7,82,12.4242191440576,82,0.9236326109391125
47,3,6,54,34.96679032570559,54,0.9041394335511983
30,4,6,63,12.649810855846127,63,0.9541910331384016
37,3,7,139,11.48298855847104,139,0.962962962962963
