sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,16.863752449881225,74,0.8865955739020754
44,3,7,126,5.1123812131451105,126,0.881578947368421
38,4,5,73,14.715650816070891,73,0.9366471734892787
42,3,5,127,5.359437023025125,127,0.962962962962963
45,3,6,86,12.137675683150807,86,0.8578431372549019
33,4,6,74,5.898764205527383,74,0.8940058479532164
43,4,9,142,5.484165712661635,142,0.9060887512899897
33,4,9,119,5.490331182164128,119,0.9138860222451554
33,4,7,138,7.326990743512755,138,0.925753927301915
36,3,6,72,9.442375084593499,72,0.8402992776057792
40,3,9,113,6.125067304009498,113,0.9041394335511983
35,4,9,122,6.6554062224170725,122,0.8953675037266369
33,3,7,115,5.740627240103511,115,0.9278752436647173
35,3,6,109,5.745672776847509,109,0.9041394335511983
46,3,5,98,5.200530840016269,98,0.5
32,4,7,68,8.558310697093473,68,0.9269005847953217
33,4,5,117,6.427483130384646,117,0.8974888200894393
30,4,9,122,6.533836567056047,122,0.9345258571264763
49,4,6,59,6.081971081319655,59,0.9104030501089324
40,4,9,83,22.923502222527013,83,0.8974888200894393
42,3,6,103,5.750781740336733,103,0.9473684210526316
36,4,5,84,6.140977386752343,84,0.8877422313954821
44,3,8,84,18.74365810828961,84,0.9259259259259259
31,3,9,75,7.275741100100082,75,0.9473684210526316
40,3,6,102,13.381688907009723,102,0.962962962962963
33,3,9,64,9.297660478380156,64,0.881578947368421
48,3,5,59,25.472175512686096,59,0.9259259259259259
48,4,8,51,8.359455427996597,51,0.935672514619883
42,4,5,148,5.696652440614736,148,0.9432977869510377
34,4,7,117,6.60146758619322,117,0.8974888200894393
37,4,7,143,5.223794848031535,143,0.9454191033138402
41,3,7,133,5.314440719809013,133,0.9083820662768032
31,4,6,140,22.98753063216321,140,0.9454191033138402
33,4,9,114,5.767431537907876,114,0.9345258571264763
32,3,9,61,5.422019529735008,61,0.9473684210526316
49,3,6,137,9.216445362291656,137,0.9649122807017544
43,4,8,105,7.961820566484024,105,0.9171539961013645
40,4,6,140,10.378918195824262,140,0.8659557390207545
41,4,9,113,5.558552849150234,113,0.9366471734892787
39,4,8,73,6.860369568338213,73,0.9051140924205939
30,3,6,101,5.656156267348861,101,0.8865955739020754
39,4,5,113,6.110197504797031,113,0.8974888200894393
49,3,9,131,17.307638019537958,131,0.8991228070175439
35,3,9,67,6.743759667058419,67,0.9454191033138402
38,3,8,88,7.707090585494981,88,0.962962962962963
31,4,5,139,5.547397135742245,139,0.9072354087833964
46,3,7,82,11.909908706803751,82,0.8671023965141612
47,3,6,54,5.615153789204046,54,0.8865955739020754
30,4,6,63,38.359383057386225,63,0.9463937621832359
37,3,7,139,5.897560898394217,139,0.8402992776057792
