sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,50.72315838758111,74,0.9824561403508771
44,3,7,126,25.80511805794457,126,1.0
38,4,5,73,27.489678911567122,73,0.9912280701754386
42,3,5,127,60.1820473919242,127,0.962962962962963
45,3,6,86,36.15509151706243,86,0.9649122807017544
33,4,6,74,27.52421672936256,74,0.9736842105263158
43,4,9,142,27.11949047430791,142,0.9551656920077973
33,4,9,119,28.417878195444963,119,0.9432977869510377
33,4,7,138,28.613895456479817,138,0.9824561403508771
36,3,6,72,27.70620889256287,72,0.8991228070175439
40,3,9,113,28.112196334517105,113,1.0
35,4,9,122,28.115749974320263,122,0.9551656920077973
33,3,7,115,29.69767892535276,115,0.9454191033138402
35,3,6,109,30.393255202241487,109,0.9166666666666666
46,3,5,98,48.72842959446842,98,0.9473684210526316
32,4,7,68,28.503996353877426,68,0.9824561403508771
33,4,5,117,77.74405818163845,117,0.956140350877193
30,4,9,122,27.64745766901282,122,0.8599644536177043
49,4,6,59,29.35650167237575,59,0.9639376218323586
40,4,9,83,49.89888201183199,83,0.9495614035087719
42,3,6,103,26.468140831806764,103,0.881578947368421
36,4,5,84,25.9880377025908,84,0.9824561403508771
44,3,8,84,25.944085558514008,84,0.881578947368421
31,3,9,75,29.525440443058454,75,0.9454191033138402
40,3,6,102,29.122735594648894,102,0.8796296296296297
33,3,9,64,42.97063041589841,64,1.0
48,3,5,59,25.84922969170947,59,0.9649122807017544
48,4,8,51,26.50699779686823,51,0.9727095516569201
42,4,5,148,26.362244776163777,148,0.8893762183235867
34,4,7,117,53.24993260198389,117,0.9639376218323586
37,4,7,143,29.31541198496907,143,0.9912280701754386
41,3,7,133,27.192421236374862,133,0.9824561403508771
31,4,6,140,26.417292070530216,140,0.9495614035087719
33,4,9,114,28.029361030559627,114,0.9335511982570806
32,3,9,61,75.4247413074111,61,1.0
49,3,6,137,25.829626297448286,137,0.9236326109391125
43,4,8,105,29.09395526913888,105,0.9824561403508771
40,4,6,140,26.610469442937905,140,0.9432977869510377
41,4,9,113,28.664969427854793,113,0.8697110423116615
39,4,8,73,27.385940196811372,73,0.9824561403508771
30,3,6,101,29.36355288771232,101,0.9824561403508771
39,4,5,113,30.936179218700378,113,0.9824561403508771
49,3,9,131,26.203912411088783,131,0.8620857699805068
35,3,9,67,51.42494710373627,67,0.9824561403508771
38,3,8,88,31.602105296811782,88,0.9824561403508771
31,4,5,139,51.34559090677196,139,0.9144736842105263
46,3,7,82,27.444677412675706,82,0.9649122807017544
47,3,6,54,35.14397111716004,54,0.9824561403508771
30,4,6,63,38.778199721493706,63,0.9824561403508771
37,3,7,139,27.814599806091962,139,1.0
