sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,12.009288195911045,74,0.962962962962963
44,3,7,126,11.836489252789402,126,0.9060887512899897
38,4,5,73,16.393231797654035,73,0.7787524366471735
42,3,5,127,12.27389639096571,127,0.881578947368421
45,3,6,86,12.20197510311468,86,0.9278752436647173
33,4,6,74,13.402331937064,74,0.9649122807017544
43,4,9,142,10.708113060817839,142,0.9736842105263158
33,4,9,119,13.611677576821007,119,0.922270955165692
33,4,7,138,12.444295821610638,138,0.9727095516569201
36,3,6,72,12.197602481440242,72,0.9824561403508771
40,3,9,113,11.139802455511393,113,0.8453159041394336
35,4,9,122,12.274267009191155,122,0.8852339181286549
33,3,7,115,11.947843206249871,115,0.9166666666666666
35,3,6,109,12.618877914297022,109,0.9649122807017544
46,3,5,98,12.483023752088519,98,0.962962962962963
32,4,7,68,11.665789515938041,68,0.9727095516569201
33,4,5,117,12.141408946439237,117,0.9824561403508771
30,4,9,122,10.97309197381927,122,0.9824561403508771
49,4,6,59,24.800803606397544,59,0.9495614035087719
40,4,9,83,12.371421040692796,83,0.9072354087833964
42,3,6,103,12.18894875533985,103,0.9473684210526316
36,4,5,84,13.353880471975346,84,0.9345258571264763
44,3,8,84,11.429926893746615,84,1.0
31,3,9,75,12.884251929958815,75,0.9060887512899897
40,3,6,102,12.43893919939445,102,0.9236326109391125
33,3,9,64,12.846268596240929,64,0.9824561403508771
48,3,5,59,14.116843700428246,59,0.962962962962963
48,4,8,51,12.48054591102592,51,0.9736842105263158
42,4,5,148,10.961661042299399,148,0.8402992776057792
34,4,7,117,13.347424944121155,117,0.9432977869510377
37,4,7,143,11.50585472852364,143,0.9727095516569201
41,3,7,133,11.030729649858966,133,0.9454191033138402
31,4,6,140,16.12679686745717,140,0.9269005847953217
33,4,9,114,35.55202702708455,114,0.9345258571264763
32,3,9,61,36.83557824572289,61,0.9649122807017544
49,3,6,137,10.807368992937091,137,0.8865955739020754
43,4,8,105,11.177353165229901,105,0.9520697167755992
40,4,6,140,10.668694250743895,140,0.8893762183235867
41,4,9,113,10.949916375432975,113,0.9345258571264763
39,4,8,73,13.136906104269217,73,1.0
30,3,6,101,20.98081547141102,101,0.9454191033138402
39,4,5,113,11.561504634908502,113,0.8918845315904139
49,3,9,131,12.386769349018753,131,0.8208061002178649
35,3,9,67,13.497132706845097,67,0.9278752436647173
38,3,8,88,11.792482480959432,88,0.9166666666666666
31,4,5,139,14.378654038244274,139,0.9736842105263158
46,3,7,82,11.455248386151736,82,0.9411764705882353
47,3,6,54,13.120380679212772,54,0.9649122807017544
30,4,6,63,11.13899543500623,63,0.9432977869510377
37,3,7,139,11.559006194764722,139,1.0
