sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,12.271585693086172,74,0.9454191033138402
44,3,7,126,13.151765292621329,126,0.8991228070175439
38,4,5,73,12.91706812176693,73,0.922270955165692
42,3,5,127,12.042917801800128,127,0.881578947368421
45,3,6,86,13.205801299835331,86,0.9824561403508771
33,4,6,74,17.180385465485852,74,0.9366471734892787
43,4,9,142,11.7798994861579,142,0.9463937621832359
33,4,9,119,12.749669681771099,119,0.9639376218323586
33,4,7,138,12.026197888512758,138,0.9366471734892787
36,3,6,72,13.484026223747904,72,0.9083820662768032
40,3,9,113,11.381369715475474,113,0.9166666666666666
35,4,9,122,12.338374331619912,122,0.9551656920077973
33,3,7,115,12.158321687608465,115,0.9824561403508771
35,3,6,109,13.94533833756153,109,0.9649122807017544
46,3,5,98,12.722783429900698,98,0.9649122807017544
32,4,7,68,12.531597157098455,68,0.9551656920077973
33,4,5,117,13.677509891934424,117,0.9232456140350878
30,4,9,122,12.601159426243543,122,0.8599644536177043
49,4,6,59,13.637439298058457,59,0.9366471734892787
40,4,9,83,13.98684058862021,83,0.9912280701754386
42,3,6,103,22.27280679809042,103,0.9278752436647173
36,4,5,84,27.608048456607683,84,0.9083820662768032
44,3,8,84,12.143180335565749,84,0.9236326109391125
31,3,9,75,32.261769955687384,75,0.8208061002178649
40,3,6,102,12.41138477639185,102,0.9473684210526316
33,3,9,64,39.81670605051712,64,0.9454191033138402
48,3,5,59,13.428868370131132,59,0.881578947368421
48,4,8,51,12.603115139522261,51,0.9181286549707602
42,4,5,148,11.462458152943846,148,0.8148148148148148
34,4,7,117,11.975580929097266,117,0.9201496388028896
37,4,7,143,12.395863299768756,143,0.9649122807017544
41,3,7,133,20.056442005734443,133,1.0
31,4,6,140,12.254063578524493,140,0.9824561403508771
33,4,9,114,12.524876864086005,114,0.9134990253411306
32,3,9,61,61.17953153159847,61,0.9060887512899897
49,3,6,137,12.599898977369412,137,0.9649122807017544
43,4,8,105,12.527234127999558,105,0.9639376218323586
40,4,6,140,12.534298459287108,140,0.922270955165692
41,4,9,113,12.560028359293874,113,0.9736842105263158
39,4,8,73,12.348344545387045,73,0.9639376218323586
30,3,6,101,12.557942760639808,101,0.9259259259259259
39,4,5,113,13.691487932460388,113,0.9727095516569201
49,3,9,131,11.501159864050269,131,1.0
35,3,9,67,12.804829416989774,67,0.962962962962963
38,3,8,88,24.268712033701895,88,0.9824561403508771
31,4,5,139,12.499813812562486,139,0.9320175438596491
46,3,7,82,11.851127982216084,82,0.9649122807017544
47,3,6,54,45.69787525195227,54,0.8671023965141612
30,4,6,63,13.462644978625375,63,0.9432977869510377
37,3,7,139,12.574439025869498,139,1.0
