sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,15.005462578942442,74,0.9454191033138402
44,3,7,126,12.784460818283115,126,0.9649122807017544
38,4,5,73,13.861084967576849,73,0.9824561403508771
42,3,5,127,13.59182924707363,127,0.9454191033138402
45,3,6,86,13.17186258152934,86,0.8208061002178649
33,4,6,74,12.513394847060347,74,0.9639376218323586
43,4,9,142,13.819088466533607,142,0.9345258571264763
33,4,9,119,12.83876795547932,119,0.9639376218323586
33,4,7,138,12.789420228180127,138,0.9320175438596491
36,3,6,72,12.779675302633837,72,0.9824561403508771
40,3,9,113,12.575895371606215,113,0.9649122807017544
35,4,9,122,12.908688737728049,122,0.9639376218323586
33,3,7,115,12.87817012720726,115,0.881578947368421
35,3,6,109,11.889776800197865,109,0.8991228070175439
46,3,5,98,14.05916599983184,98,0.9649122807017544
32,4,7,68,15.093049738180365,68,0.956140350877193
33,4,5,117,13.196233659226232,117,0.928921568627451
30,4,9,122,21.12022200217166,122,0.9824561403508771
49,4,6,59,13.892881146931325,59,0.9736842105263158
40,4,9,83,12.809760033954035,83,0.9551656920077973
42,3,6,103,12.27779053149199,103,0.9824561403508771
36,4,5,84,12.41299825069462,84,0.956140350877193
44,3,8,84,12.132570106086598,84,0.881578947368421
31,3,9,75,13.92884908128179,75,0.9041394335511983
40,3,6,102,12.132683164652702,102,0.9454191033138402
33,3,9,64,14.071555276701297,64,0.9060887512899897
48,3,5,59,22.66143211964006,59,0.9236326109391125
48,4,8,51,14.484260681407719,51,0.9551656920077973
42,4,5,148,12.2118624660672,148,0.8806042884990254
34,4,7,117,12.424725119285855,117,0.9736842105263158
37,4,7,143,12.17379959572168,143,0.8634474257539273
41,3,7,133,12.976530123879028,133,0.8578431372549019
31,4,6,140,13.3182167341057,140,0.9037524366471735
33,4,9,114,13.162007164243624,114,0.9736842105263158
32,3,9,61,16.96778966134247,61,1.0
49,3,6,137,12.201350861181036,137,0.9824561403508771
43,4,8,105,13.085836131501637,105,0.9407894736842105
40,4,6,140,12.340619710357887,140,0.9432977869510377
41,4,9,113,12.600127307384144,113,0.9171539961013645
39,4,8,73,13.145556739433728,73,0.9454191033138402
30,3,6,101,13.268517998280341,101,0.9454191033138402
39,4,5,113,11.884280172197569,113,0.797270955165692
49,3,9,131,12.23182797676882,131,0.9060887512899897
35,3,9,67,28.374692963420713,67,0.9824561403508771
38,3,8,88,12.694879807117395,88,0.8991228070175439
31,4,5,139,13.179218846773331,139,0.9257539273019149
46,3,7,82,13.494741290844457,82,0.9411764705882353
47,3,6,54,13.658047761973215,54,0.9236326109391125
30,4,6,63,23.035899076927333,63,0.9649122807017544
37,3,7,139,12.243465336328951,139,0.9083820662768032
