sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,14.716076960701292,74,0.9083820662768032
44,3,7,126,14.716108691115833,126,0.8823529411764706
38,4,5,73,13.225296415959242,73,0.9639376218323586
42,3,5,127,13.154558302722272,127,0.9824561403508771
45,3,6,86,14.118081711980542,86,0.962962962962963
33,4,6,74,25.70107158989475,74,0.9134990253411306
43,4,9,142,19.472810660062226,142,0.9113777089783281
33,4,9,119,16.42374718407101,119,0.9649122807017544
33,4,7,138,14.525798124525542,138,0.9125243664717348
36,3,6,72,16.847528869586853,72,0.9041394335511983
40,3,9,113,13.293727620615433,113,1.0
35,4,9,122,15.246859967056498,122,0.9551656920077973
33,3,7,115,13.060317051094064,115,0.9824561403508771
35,3,6,109,14.362893701010575,109,0.9649122807017544
46,3,5,98,15.846614626981626,98,0.9649122807017544
32,4,7,68,14.83991133385124,68,0.9269005847953217
33,4,5,117,14.98573096262033,117,0.9649122807017544
30,4,9,122,14.860925897765428,122,0.9736842105263158
49,4,6,59,14.299878159950703,59,0.9618163054695562
40,4,9,83,18.511989502214107,83,0.9269005847953217
42,3,6,103,14.611738053493646,103,1.0
36,4,5,84,13.747028777129826,84,0.9912280701754386
44,3,8,84,14.317987963052897,84,0.9259259259259259
31,3,9,75,15.451662118705054,75,0.9454191033138402
40,3,6,102,13.356858847151894,102,0.9166666666666666
33,3,9,64,14.003434621799123,64,0.9236326109391125
48,3,5,59,18.95499675359014,59,0.9454191033138402
48,4,8,51,18.965102624719446,51,0.9551656920077973
42,4,5,148,14.96858041147809,148,0.9138860222451554
34,4,7,117,13.963078797057761,117,0.9269005847953217
37,4,7,143,14.399489806375396,143,0.9551656920077973
41,3,7,133,13.849851277622335,133,0.962962962962963
31,4,6,140,13.863255964116984,140,0.9259259259259259
33,4,9,114,13.935836739542964,114,0.9824561403508771
32,3,9,61,15.71212413638188,61,0.9060887512899897
49,3,6,137,13.739771019727383,137,0.8991228070175439
43,4,8,105,15.15676140107047,105,0.9345258571264763
40,4,6,140,14.385231287662359,140,0.9454191033138402
41,4,9,113,19.785030915364413,113,0.9551656920077973
39,4,8,73,14.38057408661962,73,0.922270955165692
30,3,6,101,27.215717142586072,101,1.0
39,4,5,113,13.866516000097437,113,0.9324045407636739
49,3,9,131,15.017451550031392,131,0.9278752436647173
35,3,9,67,13.965688887596851,67,0.9454191033138402
38,3,8,88,13.82962306540366,88,0.9259259259259259
31,4,5,139,14.142513449384547,139,0.9125243664717348
46,3,7,82,21.07957893754705,82,0.9824561403508771
47,3,6,54,14.64534732476708,54,0.8865955739020754
30,4,6,63,32.644026477683155,63,0.9649122807017544
37,3,7,139,13.95281203199875,139,1.0
