sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,14.877417960951457,74,0.9278752436647173
44,3,7,126,14.779200818281081,126,0.7962962962962963
38,4,5,73,15.010874487651698,73,0.9454191033138402
42,3,5,127,13.766896510014789,127,0.8620857699805068
45,3,6,86,14.495602026478887,86,0.9041394335511983
33,4,6,74,33.72665790561714,74,0.9444444444444444
43,4,9,142,14.224477696319335,142,0.9639376218323586
33,4,9,119,14.035998246023242,119,0.9269005847953217
33,4,7,138,14.889529099524996,138,0.922270955165692
36,3,6,72,16.836414460968264,72,0.962962962962963
40,3,9,113,51.90124280354337,113,0.9259259259259259
35,4,9,122,14.977117791010883,122,0.925753927301915
33,3,7,115,14.505627454604474,115,0.9259259259259259
35,3,6,109,37.2482750702482,109,0.962962962962963
46,3,5,98,13.951957562694043,98,0.8991228070175439
32,4,7,68,14.953347278419455,68,0.9345258571264763
33,4,5,117,14.843497786062441,117,0.9454191033138402
30,4,9,122,16.48607615049419,122,0.9727095516569201
49,4,6,59,16.223639088922614,59,0.9366471734892787
40,4,9,83,15.540138296993488,83,0.9736842105263158
42,3,6,103,14.29789160956164,103,0.881578947368421
36,4,5,84,16.966135525077362,84,0.9366471734892787
44,3,8,84,14.584404461371408,84,0.962962962962963
31,3,9,75,35.05961777538553,75,0.9649122807017544
40,3,6,102,14.775080895315313,102,0.9041394335511983
33,3,9,64,15.72103345950407,64,0.9649122807017544
48,3,5,59,30.757585999014793,59,0.9454191033138402
48,4,8,51,47.54956216422153,51,0.9639376218323586
42,4,5,148,14.081371078388242,148,0.8974888200894393
34,4,7,117,15.070727284463784,117,0.9551656920077973
37,4,7,143,14.089079809992842,143,0.9320175438596491
41,3,7,133,13.642674010442681,133,0.9454191033138402
31,4,6,140,16.455262338119873,140,0.8722193555784887
33,4,9,114,13.667799375777765,114,0.956140350877193
32,3,9,61,14.845029139807757,61,0.9649122807017544
49,3,6,137,13.645305474148746,137,0.75
43,4,8,105,14.585659905494124,105,0.9320175438596491
40,4,6,140,13.73896722361523,140,0.7745098039215687
41,4,9,113,15.21368738712013,113,0.9072354087833964
39,4,8,73,67.51902634600208,73,0.9824561403508771
30,3,6,101,15.992711539026407,101,1.0
39,4,5,113,14.144888147504874,113,0.9551656920077973
49,3,9,131,13.714367207802674,131,0.9166666666666666
35,3,9,67,33.44884080646459,67,0.962962962962963
38,3,8,88,13.527532676935113,88,0.8333333333333334
31,4,5,139,15.21409307260159,139,0.9639376218323586
46,3,7,82,13.56006499079164,82,0.8865955739020754
47,3,6,54,23.749945735135526,54,0.9473684210526316
30,4,6,63,15.154064591925518,63,0.9257539273019149
37,3,7,139,24.08546507971075,139,0.9083820662768032
