sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,13.943451869081473,74,0.9824561403508771
44,3,7,126,8.51951434031258,126,0.9083820662768032
38,4,5,73,9.043874767099325,73,0.9454191033138402
42,3,5,127,8.344417849183555,127,0.9060887512899897
45,3,6,86,7.957472304214745,86,0.8671023965141612
33,4,6,74,12.273672059154409,74,0.8743406719412912
43,4,9,142,8.755031648231958,142,0.9649122807017544
33,4,9,119,8.390790904104328,119,0.9551656920077973
33,4,7,138,9.611470459793422,138,0.9495614035087719
36,3,6,72,8.63035885817013,72,0.9454191033138402
40,3,9,113,12.362901770452442,113,0.9278752436647173
35,4,9,122,9.784987766402315,122,0.9824561403508771
33,3,7,115,7.8204987681574485,115,0.631578947368421
35,3,6,109,9.049941360668123,109,0.8865955739020754
46,3,5,98,11.759240081695935,98,0.8402992776057792
32,4,7,68,34.26759087656045,68,0.8245614035087719
33,4,5,117,9.175111969761735,117,0.9278752436647173
30,4,9,122,12.563443446193615,122,0.9551656920077973
49,4,6,59,9.965271173587979,59,0.9463937621832359
40,4,9,83,15.16720469017799,83,0.9278752436647173
42,3,6,103,9.148187362634516,103,0.9060887512899897
36,4,5,84,8.967156237618838,84,0.9551656920077973
44,3,8,84,15.097796392110322,84,0.9454191033138402
31,3,9,75,8.610293819782726,75,0.9166666666666666
40,3,6,102,8.59295885395475,102,0.9824561403508771
33,3,9,64,13.944002910843796,64,0.8865955739020754
48,3,5,59,11.191703191475948,59,0.9454191033138402
48,4,8,51,8.214240436225134,51,0.9530443756449949
42,4,5,148,9.406637552470368,148,0.8940058479532164
34,4,7,117,16.660610635699065,117,0.9432977869510377
37,4,7,143,8.782283959327533,143,0.8928591904598097
41,3,7,133,10.445095149708479,133,0.8671023965141612
31,4,6,140,8.031494298494334,140,0.956140350877193
33,4,9,114,8.156348310145434,114,0.9072354087833964
32,3,9,61,15.455083669255496,61,0.9060887512899897
49,3,6,137,8.274773437993952,137,0.8208061002178649
43,4,8,105,8.507940323563087,105,0.9442724458204335
40,4,6,140,8.73362793303878,140,0.9727095516569201
41,4,9,113,8.259448335880904,113,0.8949805068226121
39,4,8,73,25.174945246627132,73,0.9345258571264763
30,3,6,101,19.002554019500156,101,0.9824561403508771
39,4,5,113,8.507413516717676,113,0.9247792684325192
49,3,9,131,7.75505774615526,131,0.8208061002178649
35,3,9,67,9.9309233607948,67,0.9083820662768032
38,3,8,88,7.577383762969842,88,0.9649122807017544
31,4,5,139,8.848339534735583,139,0.9037524366471735
46,3,7,82,8.950017786830553,82,0.631578947368421
47,3,6,54,13.193894663345553,54,0.9083820662768032
30,4,6,63,8.885579317012494,63,0.9736842105263158
37,3,7,139,8.849314323468779,139,0.9060887512899897
