sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,12.112736347604436,74,0.9649122807017544
44,3,7,126,12.067716226518728,126,0.9454191033138402
38,4,5,73,11.557253404205582,73,0.8852339181286549
42,3,5,127,36.327996654894825,127,0.9473684210526316
45,3,6,86,39.00686554872898,86,0.9473684210526316
33,4,6,74,11.377275730048202,74,0.9551656920077973
43,4,9,142,10.49916029240593,142,0.922270955165692
33,4,9,119,10.561942034663383,119,0.9432977869510377
33,4,7,138,11.333061035228498,138,0.9551656920077973
36,3,6,72,13.433155964044454,72,0.9236326109391125
40,3,9,113,11.035359793180811,113,0.8991228070175439
35,4,9,122,11.288795014331708,122,0.9148606811145511
33,3,7,115,29.863334555645583,115,0.9278752436647173
35,3,6,109,11.178407071413066,109,0.9473684210526316
46,3,5,98,10.572711012387769,98,0.962962962962963
32,4,7,68,11.201944723904779,68,0.9824561403508771
33,4,5,117,10.648158947911032,117,0.7189542483660131
30,4,9,122,13.674840960630796,122,0.8865955739020754
49,4,6,59,27.23867464464477,59,0.9366471734892787
40,4,9,83,11.012256396472553,83,0.9727095516569201
42,3,6,103,10.683307236272798,103,0.9649122807017544
36,4,5,84,22.013681251881017,84,0.9454191033138402
44,3,8,84,11.15791350409565,84,0.9824561403508771
31,3,9,75,26.38717615674566,75,0.9649122807017544
40,3,6,102,11.30373776370453,102,0.962962962962963
33,3,9,64,21.788398955501307,64,0.9454191033138402
48,3,5,59,16.058294457890813,59,0.9649122807017544
48,4,8,51,12.69285482582087,51,0.935500515995872
42,4,5,148,10.759645560926218,148,0.9649122807017544
34,4,7,117,11.676142699042654,117,0.935672514619883
37,4,7,143,11.235023827029655,143,0.9473684210526316
41,3,7,133,10.852564454833047,133,0.9060887512899897
31,4,6,140,12.695227350057351,140,0.9736842105263158
33,4,9,114,11.243493375017959,114,0.9736842105263158
32,3,9,61,20.521606789178918,61,0.9473684210526316
49,3,6,137,11.856820682480443,137,0.8402992776057792
43,4,8,105,11.206491720912187,105,0.9366471734892787
40,4,6,140,10.778337088742902,140,0.9530443756449949
41,4,9,113,10.949935291051437,113,0.9026057791537667
39,4,8,73,11.066120531821019,73,0.9551656920077973
30,3,6,101,19.6020227993253,101,0.9824561403508771
39,4,5,113,10.275915182948543,113,0.935672514619883
49,3,9,131,10.680958220027877,131,0.9649122807017544
35,3,9,67,11.757927065877828,67,0.9824561403508771
38,3,8,88,12.446274385940175,88,0.9649122807017544
31,4,5,139,10.511944266203349,139,0.7894736842105263
46,3,7,82,11.498833419860356,82,0.9083820662768032
47,3,6,54,17.971125151167797,54,0.9454191033138402
30,4,6,63,33.90278245374963,63,0.9551656920077973
37,3,7,139,13.242433261834945,139,0.9454191033138402
