sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,23.768778367023398,74,0.9824561403508771
44,3,7,126,18.65009532285211,126,0.8991228070175439
38,4,5,73,19.03124384436965,73,0.9649122807017544
42,3,5,127,19.448407523767887,127,0.9824561403508771
45,3,6,86,20.417121005091,86,0.962962962962963
33,4,6,74,23.774482341543695,74,1.0
43,4,9,142,19.520768914531203,142,0.9407894736842105
33,4,9,119,20.550704980263564,119,0.9320175438596491
33,4,7,138,19.888729250744042,138,0.9912280701754386
36,3,6,72,20.25156876129531,72,0.9236326109391125
40,3,9,113,20.157003732648427,113,0.9824561403508771
35,4,9,122,20.442815733848335,122,0.9736842105263158
33,3,7,115,18.99709768327317,115,0.962962962962963
35,3,6,109,19.806125607677746,109,0.9649122807017544
46,3,5,98,21.95890153296001,98,0.9824561403508771
32,4,7,68,21.92661463850498,68,0.9649122807017544
33,4,5,117,23.507472940562145,117,0.7982456140350878
30,4,9,122,19.623638645940986,122,0.9551656920077973
49,4,6,59,22.038784638751125,59,0.9814814814814815
40,4,9,83,19.922595618277477,83,0.9639376218323586
42,3,6,103,19.46806480437411,103,0.9166666666666666
36,4,5,84,20.587286593020345,84,0.8245614035087719
44,3,8,84,20.21185744556515,84,0.9060887512899897
31,3,9,75,19.70942977202005,75,0.9236326109391125
40,3,6,102,40.24331823505595,102,0.9649122807017544
33,3,9,64,32.29060667284949,64,0.9649122807017544
48,3,5,59,19.478197059591107,59,0.9824561403508771
48,4,8,51,20.443676414104967,51,0.9912280701754386
42,4,5,148,18.96366102974711,148,0.9407894736842105
34,4,7,117,19.117894012099192,117,0.9432977869510377
37,4,7,143,25.341722344023385,143,0.9649122807017544
41,3,7,133,19.105636069945998,133,0.9236326109391125
31,4,6,140,22.341871003931193,140,0.9649122807017544
33,4,9,114,21.632475412170365,114,0.9814814814814815
32,3,9,61,19.67088626401053,61,0.9824561403508771
49,3,6,137,19.425877282932028,137,0.881578947368421
43,4,8,105,22.7221851003317,105,0.8940058479532164
40,4,6,140,19.542934388099756,140,0.9824561403508771
41,4,9,113,22.68135426986254,113,0.9310428849902534
39,4,8,73,20.992358679287882,73,0.9736842105263158
30,3,6,101,19.20037202400774,101,0.881578947368421
39,4,5,113,19.581168556144902,113,0.9144736842105263
49,3,9,131,21.711633339612348,131,0.962962962962963
35,3,9,67,20.54335643280049,67,0.962962962962963
38,3,8,88,19.55626186267667,88,0.9824561403508771
31,4,5,139,21.86732852512054,139,0.9649122807017544
46,3,7,82,44.32123545778744,82,0.9278752436647173
47,3,6,54,21.59404031198877,54,0.9824561403508771
30,4,6,63,45.99339781943857,63,0.9736842105263158
37,3,7,139,20.840264778345688,139,0.9824561403508771
