sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,43.168021893804664,74,1.0
44,3,7,126,20.27473208162002,126,0.9259259259259259
38,4,5,73,23.532468161701466,73,0.9541910331384016
42,3,5,127,21.038918422336465,127,0.9824561403508771
45,3,6,86,19.251200751620793,86,0.9411764705882353
33,4,6,74,22.996520981476035,74,0.9639376218323586
43,4,9,142,41.77671089631273,142,0.9551656920077973
33,4,9,119,23.618077649152646,119,0.9814814814814815
33,4,7,138,19.770195747062346,138,0.9736842105263158
36,3,6,72,61.18537601914622,72,0.962962962962963
40,3,9,113,19.99814648627368,113,0.9454191033138402
35,4,9,122,61.889229537363676,122,0.922270955165692
33,3,7,115,29.836549357727364,115,1.0
35,3,6,109,21.428025060891347,109,0.9473684210526316
46,3,5,98,21.343777128903834,98,0.8425925925925926
32,4,7,68,60.43933277118337,68,0.9639376218323586
33,4,5,117,19.987650383431316,117,0.9495614035087719
30,4,9,122,19.894398260079925,122,0.9649122807017544
49,4,6,59,20.53313297733109,59,0.9495614035087719
40,4,9,83,40.27323344411485,83,0.9324045407636739
42,3,6,103,20.195142768072227,103,1.0
36,4,5,84,21.53670423798973,84,0.9912280701754386
44,3,8,84,19.593934888627686,84,0.8865955739020754
31,3,9,75,74.45431766391118,75,0.9649122807017544
40,3,6,102,39.49796804514932,102,1.0
33,3,9,64,21.948035910925796,64,0.9824561403508771
48,3,5,59,20.09174003174398,59,0.9060887512899897
48,4,8,51,92.92059671539435,51,0.8333333333333334
42,4,5,148,22.429190841267015,148,0.9551656920077973
34,4,7,117,21.33494247170247,117,0.9824561403508771
37,4,7,143,21.74904744316823,143,0.9727095516569201
41,3,7,133,20.4192698904484,133,0.8796296296296297
31,4,6,140,22.241267794256277,140,0.9649122807017544
33,4,9,114,22.597470799735017,114,0.9407894736842105
32,3,9,61,20.51156582506052,61,0.962962962962963
49,3,6,137,20.708364812323726,137,0.7990196078431372
43,4,8,105,40.34434547305365,105,0.9551656920077973
40,4,6,140,23.063703915506206,140,0.9269005847953217
41,4,9,113,22.061516138811534,113,0.9649122807017544
39,4,8,73,20.09721760498263,73,1.0
30,3,6,101,37.152315498568896,101,0.9454191033138402
39,4,5,113,19.8197912098697,113,0.9727095516569201
49,3,9,131,20.13579487972401,131,0.9166666666666666
35,3,9,67,20.29909658501131,67,0.9649122807017544
38,3,8,88,21.07526636782536,88,0.9236326109391125
31,4,5,139,25.198831121871994,139,0.9047270955165692
46,3,7,82,20.89639099342397,82,0.8991228070175439
47,3,6,54,41.23219577920325,54,0.9649122807017544
30,4,6,63,30.025685372944658,63,0.9345258571264763
37,3,7,139,38.85063463296177,139,0.9824561403508771
