sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,15.808342961089647,74,0.9824561403508771
44,3,7,126,10.577186292881915,126,0.8991228070175439
38,4,5,73,11.85019801024162,73,0.9639376218323586
42,3,5,127,10.74631675362815,127,0.9454191033138402
45,3,6,86,21.655507875202545,86,0.9824561403508771
33,4,6,74,11.469435689353084,74,0.9551656920077973
43,4,9,142,10.950190607905425,142,0.9639376218323586
33,4,9,119,11.666103920470643,119,0.9236326109391125
33,4,7,138,17.611624348601275,138,0.9551656920077973
36,3,6,72,10.711616308795033,72,0.8796296296296297
40,3,9,113,10.516746035806833,113,0.9824561403508771
35,4,9,122,11.804125123264791,122,0.9062607499140007
33,3,7,115,14.030446620865884,115,0.9824561403508771
35,3,6,109,12.78992990278835,109,0.9649122807017544
46,3,5,98,10.772473530733453,98,0.9649122807017544
32,4,7,68,11.109492497662643,68,0.9463937621832359
33,4,5,117,10.376546443623152,117,0.9320175438596491
30,4,9,122,9.323496571269358,122,0.9463937621832359
49,4,6,59,10.402219194638313,59,0.9639376218323586
40,4,9,83,11.321430010229765,83,0.9267285861713106
42,3,6,103,9.521109041048021,103,0.9473684210526316
36,4,5,84,49.03790456853231,84,0.9727095516569201
44,3,8,84,12.56559876114613,84,0.9454191033138402
31,3,9,75,11.25062395650813,75,0.8991228070175439
40,3,6,102,11.915676046723684,102,0.8888888888888888
33,3,9,64,55.577406430941785,64,0.8888888888888888
48,3,5,59,10.982411008325503,59,0.8991228070175439
48,4,8,51,15.03855002981691,51,0.9639376218323586
42,4,5,148,12.036260497877802,148,0.9824561403508771
34,4,7,117,9.724357129057426,117,0.9736842105263158
37,4,7,143,9.987461046948036,143,0.9454191033138402
41,3,7,133,9.447287882158792,133,0.8865955739020754
31,4,6,140,10.787935634320423,140,0.9037524366471735
33,4,9,114,14.283255680577689,114,0.9432977869510377
32,3,9,61,19.868611327736097,61,0.9454191033138402
49,3,6,137,20.76236936074119,137,0.9473684210526316
43,4,8,105,9.252930613408363,105,0.9541910331384016
40,4,6,140,22.794937356005136,140,0.9541910331384016
41,4,9,113,10.522619625967772,113,0.9727095516569201
39,4,8,73,12.505733138406077,73,0.9551656920077973
30,3,6,101,10.062237011278016,101,0.9278752436647173
39,4,5,113,9.019243464323768,113,0.88099128540305
49,3,9,131,9.299387108250325,131,0.9649122807017544
35,3,9,67,17.389546799262714,67,0.9473684210526316
38,3,8,88,11.083682662238491,88,0.9454191033138402
31,4,5,139,11.263906619059426,139,0.9432977869510377
46,3,7,82,10.702203083817604,82,0.9454191033138402
47,3,6,54,12.231176141650174,54,0.9824561403508771
30,4,6,63,19.485065573348923,63,0.9037524366471735
37,3,7,139,10.410232034293532,139,0.9166666666666666
