sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,48.470685583578806,74,0.9824561403508771
44,3,7,126,14.72133305250955,126,0.9411764705882353
38,4,5,73,15.529764898059124,73,0.9824561403508771
42,3,5,127,21.44669893203341,127,0.9473684210526316
45,3,6,86,14.513798744866072,86,0.8796296296296297
33,4,6,74,14.707623716498851,74,0.9454191033138402
43,4,9,142,15.741984554879373,142,0.9495614035087719
33,4,9,119,15.37602857555778,119,0.922270955165692
33,4,7,138,14.217126153685879,138,0.9618163054695562
36,3,6,72,16.70977449313212,72,0.9649122807017544
40,3,9,113,14.870783048313463,113,1.0
35,4,9,122,13.833458470240643,122,0.9345258571264763
33,3,7,115,16.102816715651013,115,0.9236326109391125
35,3,6,109,17.822610059831856,109,0.9278752436647173
46,3,5,98,14.104757709658013,98,0.9236326109391125
32,4,7,68,15.412673922278875,68,0.9824561403508771
33,4,5,117,15.79339313776299,117,0.8743406719412912
30,4,9,122,17.941699148139445,122,0.9736842105263158
49,4,6,59,19.543681481454364,59,0.9639376218323586
40,4,9,83,16.2746108314435,83,0.9727095516569201
42,3,6,103,16.03630285348563,103,0.9060887512899897
36,4,5,84,16.69523279430782,84,0.9160073386079578
44,3,8,84,13.642238661754249,84,0.9411764705882353
31,3,9,75,14.575585019033786,75,0.8620857699805068
40,3,6,102,15.389782819978647,102,0.9824561403508771
33,3,9,64,14.752725270390025,64,0.9454191033138402
48,3,5,59,15.681239235541629,59,0.9454191033138402
48,4,8,51,18.865192031965357,51,0.9649122807017544
42,4,5,148,13.618765305590742,148,0.830552688911822
34,4,7,117,15.167426440192902,117,0.9432977869510377
37,4,7,143,14.690457308294931,143,0.9824561403508771
41,3,7,133,14.234150077773984,133,0.9454191033138402
31,4,6,140,14.828453123951853,140,0.8333333333333334
33,4,9,114,16.94168295102393,114,0.9335511982570807
32,3,9,61,17.88962826062807,61,0.9649122807017544
49,3,6,137,13.64467314418053,137,0.9060887512899897
43,4,8,105,14.483031984951086,105,0.884474257539273
40,4,6,140,13.98504026448595,140,0.9912280701754386
41,4,9,113,14.37787857302745,113,0.9551656920077973
39,4,8,73,14.84551129108061,73,0.9310428849902534
30,3,6,101,14.770291673536773,101,1.0
39,4,5,113,13.83990191861572,113,0.7745098039215687
49,3,9,131,15.998994118510435,131,0.9236326109391125
35,3,9,67,18.411495140804988,67,0.9454191033138402
38,3,8,88,16.62045614092217,88,0.9236326109391125
31,4,5,139,19.48665558103074,139,0.9727095516569201
46,3,7,82,16.70822662758454,82,0.8620857699805068
47,3,6,54,16.601702408526346,54,0.9166666666666666
30,4,6,63,15.860306419447646,63,0.9125243664717348
37,3,7,139,15.184743784279974,139,0.9060887512899897
