sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,41.447173210299724,74,0.9649122807017544
44,3,7,126,11.35023265484895,126,0.9473684210526316
38,4,5,73,12.025172160746289,73,0.9444444444444444
42,3,5,127,10.933106994128698,127,0.8620857699805068
45,3,6,86,10.062926611032252,86,0.9259259259259259
33,4,6,74,32.065020984534215,74,0.9160073386079578
43,4,9,142,12.19245817848017,142,0.9639376218323586
33,4,9,119,10.286365929545353,119,0.8697110423116615
33,4,7,138,9.959305129247259,138,0.9051140924205939
36,3,6,72,20.564138475281307,72,0.9649122807017544
40,3,9,113,10.049221144822441,113,0.8991228070175439
35,4,9,122,11.240818780875578,122,0.9639376218323586
33,3,7,115,17.507697866950025,115,0.962962962962963
35,3,6,109,10.391263272551242,109,0.9454191033138402
46,3,5,98,10.312282227506232,98,0.9166666666666666
32,4,7,68,10.722661965378368,68,0.9727095516569201
33,4,5,117,10.523929318387275,117,0.9639376218323586
30,4,9,122,10.216109296143072,122,0.922270955165692
49,4,6,59,10.426038666504006,59,0.9639376218323586
40,4,9,83,10.31846005429375,83,0.8722193555784887
42,3,6,103,10.111370553467253,103,0.8865955739020754
36,4,5,84,12.585080078170048,84,0.9269005847953217
44,3,8,84,10.695856529397522,84,0.9083820662768032
31,3,9,75,10.984374982772813,75,0.8865955739020754
40,3,6,102,11.013097325486749,102,0.8620857699805068
33,3,9,64,13.064297463485186,64,0.8991228070175439
48,3,5,59,9.777354801624984,59,0.9454191033138402
48,4,8,51,10.387533403852776,51,0.9454191033138402
42,4,5,148,10.092466240895586,148,0.9226579520697168
34,4,7,117,10.899374816283087,117,0.7787524366471735
37,4,7,143,10.29339420174469,143,0.9134990253411306
41,3,7,133,11.120974716020354,133,0.9236326109391125
31,4,6,140,10.777589526331166,140,0.9320175438596491
33,4,9,114,10.286083680510632,114,0.9345258571264763
32,3,9,61,15.538153933147338,61,0.9824561403508771
49,3,6,137,9.537312743430794,137,0.8671023965141612
43,4,8,105,10.63194162565869,105,0.935672514619883
40,4,6,140,10.70586082625694,140,0.9169819974773535
41,4,9,113,10.286882496730385,113,0.9912280701754386
39,4,8,73,10.26730370741691,73,0.9639376218323586
30,3,6,101,18.32761037441181,101,0.9454191033138402
39,4,5,113,60.024713727270225,113,0.8949805068226121
49,3,9,131,10.48369512980609,131,0.9083820662768032
35,3,9,67,41.43266414595018,67,0.9649122807017544
38,3,8,88,10.564476591673264,88,0.8991228070175439
31,4,5,139,30.473811608438623,139,0.8854489164086687
46,3,7,82,11.653728108504708,82,0.881578947368421
47,3,6,54,10.589318204064059,54,0.9649122807017544
30,4,6,63,44.91526920319414,63,0.9649122807017544
37,3,7,139,10.595307601465391,139,0.8865955739020754
