sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,8.695065339105374,74,0.9041394335511983
44,3,7,126,8.093218356345623,126,0.8991228070175439
38,4,5,73,7.689825975479504,73,0.9366471734892787
42,3,5,127,12.055695859459963,127,0.9259259259259259
45,3,6,86,7.713737345762263,86,0.9083820662768032
33,4,6,74,8.188879139049927,74,0.88099128540305
43,4,9,142,14.189831181658548,142,0.9074074074074074
33,4,9,119,18.1411546793869,119,0.8852339181286549
33,4,7,138,9.120085080740886,138,0.9366471734892787
36,3,6,72,8.731939355730951,72,0.9166666666666666
40,3,9,113,7.782220993126982,113,0.8648090815273478
35,4,9,122,18.286358934424037,122,0.9583333333333334
33,3,7,115,8.258175486640168,115,0.9454191033138402
35,3,6,109,8.004567787624893,109,0.9454191033138402
46,3,5,98,18.807736739870812,98,0.8888888888888888
32,4,7,68,33.97227878614869,68,0.9181286549707602
33,4,5,117,8.005251874226964,117,0.9160073386079578
30,4,9,122,16.7082578156328,122,0.9160073386079578
49,4,6,59,8.578718222428016,59,0.9269005847953217
40,4,9,83,9.72126901882224,83,0.9257539273019149
42,3,6,103,22.776700812243213,103,0.9454191033138402
36,4,5,84,8.13632738488463,84,0.8865955739020754
44,3,8,84,7.832393954329005,84,0.9236326109391125
31,3,9,75,8.777890916581539,75,0.9083820662768032
40,3,6,102,16.09483584658937,102,0.9278752436647173
33,3,9,64,8.834558002366204,64,0.9060887512899897
48,3,5,59,7.671046269907431,59,0.8648090815273478
48,4,8,51,23.018236136002216,51,0.8974888200894393
42,4,5,148,10.930247028483974,148,0.9037524366471735
34,4,7,117,23.21166724284396,117,0.9454191033138402
37,4,7,143,7.997646542905683,143,0.9257539273019149
41,3,7,133,16.546681663136198,133,0.9236326109391125
31,4,6,140,7.606916579716422,140,0.8840872606352482
33,4,9,114,9.381040417001811,114,0.9051140924205939
32,3,9,61,21.15736372147586,61,0.9473684210526316
49,3,6,137,7.600402771264265,137,0.9824561403508771
43,4,8,105,7.963737519583752,105,0.9463937621832359
40,4,6,140,28.302987151662453,140,0.9639376218323586
41,4,9,113,7.894075125142074,113,0.8974888200894393
39,4,8,73,7.7365691901695435,73,0.9148606811145511
30,3,6,101,13.409881783183982,101,0.9278752436647173
39,4,5,113,9.070966459544753,113,0.9072354087833964
49,3,9,131,11.403914748924599,131,0.9041394335511983
35,3,9,67,33.54559230675542,67,0.9083820662768032
38,3,8,88,25.20877359518007,88,0.9278752436647173
31,4,5,139,7.907815833870354,139,0.9062607499140007
46,3,7,82,9.671679703187243,82,0.8453159041394336
47,3,6,54,8.018364881757295,54,0.9824561403508771
30,4,6,63,12.64748087387376,63,0.8865955739020754
37,3,7,139,15.695934914776783,139,0.7745098039215687
