sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,11.18754533205264,74,0.9278752436647173
44,3,7,126,9.768040758593319,126,0.9454191033138402
38,4,5,73,10.216143625358255,73,0.8840872606352482
42,3,5,127,10.598091039676518,127,0.9454191033138402
45,3,6,86,10.5263949027578,86,0.881578947368421
33,4,6,74,11.38280193473131,74,0.9444444444444444
43,4,9,142,10.612502576928122,142,0.9125243664717348
33,4,9,119,10.550325002924712,119,0.9649122807017544
33,4,7,138,11.672159212160844,138,0.9138860222451554
36,3,6,72,35.77099676282454,72,0.9473684210526316
40,3,9,113,11.2651248909323,113,0.9083820662768032
35,4,9,122,10.40544502806421,122,0.9247792684325192
33,3,7,115,19.868587406134683,115,0.9473684210526316
35,3,6,109,11.277947260892002,109,0.9259259259259259
46,3,5,98,10.81617600799058,98,0.9649122807017544
32,4,7,68,18.648566363926644,68,0.8877422313954821
33,4,5,117,11.961826173050715,117,0.9062607499140007
30,4,9,122,11.244590713069153,122,0.9639376218323586
49,4,6,59,10.727449259706733,59,0.9530443756449949
40,4,9,83,11.99186587464928,83,0.9454191033138402
42,3,6,103,10.14834580571446,103,0.9824561403508771
36,4,5,84,11.56269194075966,84,0.9257539273019149
44,3,8,84,12.305392726381632,84,0.9824561403508771
31,3,9,75,19.319924690743914,75,0.9473684210526316
40,3,6,102,10.448389054276943,102,0.9060887512899897
33,3,9,64,10.754358976981923,64,0.9473684210526316
48,3,5,59,10.42663641607215,59,0.8991228070175439
48,4,8,51,23.188153357188398,51,0.9463937621832359
42,4,5,148,11.039427409209113,148,0.9454191033138402
34,4,7,117,17.795545451406024,117,0.9463937621832359
37,4,7,143,10.03553903389192,143,0.9257539273019149
41,3,7,133,10.885900066307805,133,0.9824561403508771
31,4,6,140,10.75780632503177,140,0.8194444444444444
33,4,9,114,17.49449184771212,114,0.9551656920077973
32,3,9,61,37.539802686312385,61,0.9473684210526316
49,3,6,137,10.715489317371608,137,0.9649122807017544
43,4,8,105,13.842836058285977,105,0.9160073386079578
40,4,6,140,10.79787661869461,140,0.9551656920077973
41,4,9,113,11.30960157356228,113,0.9454191033138402
39,4,8,73,10.34105633590098,73,0.9160073386079578
30,3,6,101,10.814158403231216,101,0.9083820662768032
39,4,5,113,11.357615884839863,113,0.9520697167755992
49,3,9,131,10.939870219274885,131,0.9259259259259259
35,3,9,67,11.312714964667624,67,0.9473684210526316
38,3,8,88,11.167156251352829,88,0.962962962962963
31,4,5,139,13.198534287768068,139,0.9551656920077973
46,3,7,82,11.814398514083695,82,0.9236326109391125
47,3,6,54,24.04441482783509,54,0.9824561403508771
30,4,6,63,33.55238591839024,63,0.9366471734892787
37,3,7,139,10.08216859582647,139,0.8425925925925926
