sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,12.523177536293261,74,0.9649122807017544
44,3,7,126,11.282918653449583,126,0.9166666666666666
38,4,5,73,13.24472144568678,73,0.9551656920077973
42,3,5,127,10.603289027430044,127,0.881578947368421
45,3,6,86,21.05226292781999,86,0.8865955739020754
33,4,6,74,12.253827240106142,74,0.9727095516569201
43,4,9,142,16.322114701167145,142,0.9454191033138402
33,4,9,119,11.111930303668721,119,0.9407894736842105
33,4,7,138,11.811649207884074,138,0.9639376218323586
36,3,6,72,17.300916936373184,72,0.9236326109391125
40,3,9,113,26.836960756220222,113,0.9649122807017544
35,4,9,122,11.566956528845596,122,0.9639376218323586
33,3,7,115,12.422769715993745,115,0.9454191033138402
35,3,6,109,20.64054780900604,109,0.9041394335511983
46,3,5,98,34.44970226078353,98,0.962962962962963
32,4,7,68,17.412775953072188,68,0.9444444444444444
33,4,5,117,11.833162182469543,117,0.9541910331384016
30,4,9,122,12.13537996250845,122,0.9454191033138402
49,4,6,59,44.55387439577236,59,0.9639376218323586
40,4,9,83,15.869942693007093,83,0.9463937621832359
42,3,6,103,16.281986447069396,103,0.9649122807017544
36,4,5,84,43.290108844022306,84,0.9432977869510377
44,3,8,84,13.252569275541706,84,0.9259259259259259
31,3,9,75,25.721972983027886,75,0.9824561403508771
40,3,6,102,12.704747689749425,102,0.9649122807017544
33,3,9,64,21.60955264973761,64,0.9454191033138402
48,3,5,59,19.054757782311686,59,0.9083820662768032
48,4,8,51,30.97975404845932,51,0.9912280701754386
42,4,5,148,22.791416055658697,148,0.9442724458204335
34,4,7,117,12.736322652577762,117,0.9432977869510377
37,4,7,143,11.416881021514763,143,0.9125243664717348
41,3,7,133,9.335108685044288,133,0.9236326109391125
31,4,6,140,11.111291474498465,140,0.9824561403508771
33,4,9,114,10.782070491222893,114,0.9551656920077973
32,3,9,61,11.764680769715097,61,0.9649122807017544
49,3,6,137,12.098878266535745,137,0.962962962962963
43,4,8,105,15.361020836481327,105,0.9649122807017544
40,4,6,140,26.205844560228563,140,0.9454191033138402
41,4,9,113,10.643452218097178,113,0.9442724458204335
39,4,8,73,22.139150321505088,73,0.9649122807017544
30,3,6,101,12.353989385216165,101,0.9454191033138402
39,4,5,113,27.225628627133972,113,0.7592592592592592
49,3,9,131,11.070785404971899,131,0.962962962962963
35,3,9,67,23.808026964220286,67,0.962962962962963
38,3,8,88,22.004761640528336,88,0.9259259259259259
31,4,5,139,11.961097356914443,139,0.9171539961013645
46,3,7,82,13.082462240401828,82,0.9824561403508771
47,3,6,54,13.053279757835384,54,0.9649122807017544
30,4,6,63,37.323282593007995,63,0.8148148148148148
37,3,7,139,17.19661146910943,139,0.9473684210526316
