sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,13.554875391963167,74,0.9454191033138402
44,3,7,126,12.894739606635335,126,0.9236326109391125
38,4,5,73,14.090212218583597,73,0.9551656920077973
42,3,5,127,12.357629968317495,127,0.8620857699805068
45,3,6,86,12.511897308441657,86,0.9649122807017544
33,4,6,74,13.492499762391644,74,0.9736842105263158
43,4,9,142,12.31063770710985,142,0.9345258571264763
33,4,9,119,12.793303807828432,119,0.9320175438596491
33,4,7,138,13.811809996212103,138,0.9072354087833964
36,3,6,72,12.510953368503348,72,0.9166666666666666
40,3,9,113,13.777484088621339,113,0.9454191033138402
35,4,9,122,17.58095932048495,122,0.9824561403508771
33,3,7,115,13.020466769252799,115,0.9824561403508771
35,3,6,109,13.18483753822442,109,0.8796296296296297
46,3,5,98,12.543829716861056,98,1.0
32,4,7,68,13.114122269495558,68,0.9442724458204335
33,4,5,117,12.645630092492265,117,0.8157894736842105
30,4,9,122,16.906723747351858,122,0.9148606811145511
49,4,6,59,18.92952878395649,59,0.9736842105263158
40,4,9,83,15.7682540664193,83,0.956140350877193
42,3,6,103,12.388557153128499,103,0.9166666666666666
36,4,5,84,13.310441754574615,84,0.9407894736842105
44,3,8,84,12.98186049292347,84,0.9649122807017544
31,3,9,75,13.271050676506407,75,0.962962962962963
40,3,6,102,13.09080187199554,102,0.8991228070175439
33,3,9,64,13.474436719973138,64,0.9649122807017544
48,3,5,59,14.068899178009989,59,0.9259259259259259
48,4,8,51,12.89179820490393,51,0.9736842105263158
42,4,5,148,13.927571577517558,148,0.9618163054695562
34,4,7,117,12.553559921272743,117,0.9454191033138402
37,4,7,143,12.747001519532231,143,0.8796296296296297
41,3,7,133,13.637468104629239,133,0.881578947368421
31,4,6,140,13.456016695537896,140,0.9463937621832359
33,4,9,114,21.919332112532928,114,0.9027777777777778
32,3,9,61,17.774701587912336,61,0.9473684210526316
49,3,6,137,13.177058139122401,137,0.9236326109391125
43,4,8,105,13.140480177670645,105,0.9520697167755992
40,4,6,140,12.646827972861297,140,0.8662280701754386
41,4,9,113,14.202652896534962,113,0.9495614035087719
39,4,8,73,13.11224933008232,73,0.9649122807017544
30,3,6,101,13.811874472860792,101,0.9041394335511983
39,4,5,113,12.672543506549264,113,0.9345258571264763
49,3,9,131,12.504259455923881,131,0.8991228070175439
35,3,9,67,14.262600833114861,67,0.9236326109391125
38,3,8,88,13.030659662881746,88,0.9454191033138402
31,4,5,139,12.787674153439164,139,0.9366471734892787
46,3,7,82,13.421412140671645,82,0.9649122807017544
47,3,6,54,13.634213952982565,54,0.9411764705882353
30,4,6,63,21.692603177213726,63,0.9345258571264763
37,3,7,139,13.398813254128827,139,0.881578947368421
