sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,17.955151735537367,74,0.881578947368421
44,3,7,126,16.0573180549121,126,0.9473684210526316
38,4,5,73,28.63168719001897,73,0.8819659442724458
42,3,5,127,14.157815763843377,127,0.8620857699805068
45,3,6,86,36.300344317160565,86,0.9649122807017544
33,4,6,74,34.18201735491373,74,0.9727095516569201
43,4,9,142,16.14953257322229,142,0.9541910331384016
33,4,9,119,17.137718231219186,119,0.9541910331384016
33,4,7,138,16.33617382936232,138,0.9649122807017544
36,3,6,72,52.36817220852505,72,0.9649122807017544
40,3,9,113,16.875655171414447,113,0.9824561403508771
35,4,9,122,19.25557464177377,122,0.956140350877193
33,3,7,115,22.88703240751501,115,0.9259259259259259
35,3,6,109,15.634134815288013,109,0.9236326109391125
46,3,5,98,20.78841803125679,98,0.9649122807017544
32,4,7,68,16.295365481642133,68,0.9551656920077973
33,4,5,117,17.25877756887379,117,0.9495614035087719
30,4,9,122,17.780113779145047,122,0.9442724458204335
49,4,6,59,15.772719961702954,59,0.925753927301915
40,4,9,83,36.43152856247974,83,0.9530443756449949
42,3,6,103,17.51603838251603,103,0.9824561403508771
36,4,5,84,61.72059643950258,84,0.9912280701754386
44,3,8,84,15.029712153694348,84,1.0
31,3,9,75,21.60880669179212,75,0.9649122807017544
40,3,6,102,15.98102175259481,102,0.8865955739020754
33,3,9,64,37.2135898113345,64,0.9473684210526316
48,3,5,59,15.737125336450527,59,0.9649122807017544
48,4,8,51,27.498163048634247,51,0.9181286549707602
42,4,5,148,17.9378386543128,148,0.9639376218323586
34,4,7,117,16.206588511771407,117,0.9618163054695562
37,4,7,143,17.158056101568196,143,0.9320175438596491
41,3,7,133,15.772085016490593,133,0.8620857699805068
31,4,6,140,17.62056569896426,140,0.9551656920077973
33,4,9,114,30.281999281921294,114,0.9639376218323586
32,3,9,61,32.95378862346181,61,0.8991228070175439
49,3,6,137,20.41582467291886,137,0.962962962962963
43,4,8,105,31.585374757757837,105,0.9551656920077973
40,4,6,140,32.77724468962988,140,0.9727095516569201
41,4,9,113,16.052664345933003,113,0.9444444444444444
39,4,8,73,73.28364794417892,73,0.9432977869510377
30,3,6,101,75.08932598369123,101,0.9649122807017544
39,4,5,113,18.54271873884561,113,0.9649122807017544
49,3,9,131,46.02653603802524,131,0.962962962962963
35,3,9,67,60.83086544816497,67,1.0
38,3,8,88,34.95854443751102,88,0.8620857699805068
31,4,5,139,17.835698726160764,139,0.9320175438596491
46,3,7,82,18.948490611403603,82,0.9060887512899897
47,3,6,54,17.058606854250794,54,0.9454191033138402
30,4,6,63,34.49011891590171,63,0.9736842105263158
37,3,7,139,16.040426805431093,139,0.9454191033138402
